nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile
E,E01002772,27.638,28.1,14.7,27.638,3,3,11474.5,3,2
E,E01003389,27.638,32.0,14.799999999999999,27.638,3,3,11474.5,3,2
E,E01000439,27.638,29.599999999999998,16.400000000000002,27.638,3,3,11474.5,3,2
E,E01021101,27.638,25.8,14.6,27.638,3,3,11474.5,3,2
E,E01003533,27.635,28.999999999999996,11.700000000000001,27.635,3,3,11477.5,3,2
E,E01025392,27.635,21.7,16.3,27.635,3,3,11477.5,3,2
E,E01034383,27.634,30.0,12.6,27.634,3,3,11479.0,3,2
E,E01023924,27.633,33.6,15.6,27.633,3,3,11480.0,3,2
N,95SS04S2,15.111021933521531,11.6,17.6,27.632883441373806,7,3,11481.0,3,2
E,E01003181,27.63,33.300000000000004,16.900000000000002,27.63,3,3,11482.5,3,2
E,E01000111,27.63,33.6,15.5,27.63,3,3,11482.5,3,2
S,S01007257,36.71929958753166,22.0,15.0,27.62847858201947,2,3,11484.0,3,2
S,S01009688,39.613100386794834,25.0,19.0,27.625651769862426,2,3,11485.0,3,2
E,E01023637,27.625,31.4,20.0,27.625,3,3,11486.5,3,2
E,E01011033,27.625,36.4,16.1,27.625,3,3,11486.5,3,2
E,E01027252,27.617,33.300000000000004,15.299999999999999,27.617,3,3,11488.0,3,2
E,E01026410,27.615,11.899999999999999,14.499999999999998,27.615,3,3,11489.0,3,2
W,W01000588,37.2,25.0,19.0,27.6146079109523,2,3,11490.0,3,2
E,E01011822,27.614,22.6,14.000000000000002,27.614,3,3,11491.0,3,2
E,E01032152,27.612,30.7,18.3,27.612,3,3,11492.0,3,2
S,S01008916,38.15229330729936,24.0,17.0,27.610899497231376,2,3,11493.0,3,2
E,E01009145,27.605,36.3,17.599999999999998,27.605,3,3,11494.0,3,2
E,E01018402,27.604,24.099999999999998,17.0,27.604,3,3,11495.5,3,2
E,E01003559,27.604,30.599999999999998,11.700000000000001,27.604,3,3,11495.5,3,2
E,E01028272,27.603,26.3,17.299999999999997,27.603,3,3,11497.5,3,2
E,E01026717,27.603,16.400000000000002,11.0,27.603,3,3,11497.5,3,2
N,95JJ13S1,14.887329265553332,14.4,17.9,27.59838503769659,7,3,11499.0,3,2
E,E01011795,27.595,29.799999999999997,18.3,27.595,3,3,11500.0,3,2
E,E01028098,27.594,31.8,21.7,27.594,3,3,11501.0,3,2
E,E01000222,27.589,38.9,18.0,27.589,3,3,11502.0,3,2
S,S01010622,38.13310148520144,24.0,17.0,27.58859015863131,2,3,11503.0,3,2
E,E01006179,27.588,28.4,20.200000000000003,27.588,3,3,11504.0,3,2
E,E01005896,27.587,28.499999999999996,14.2,27.587,3,3,11505.0,3,2
E,E01029248,27.585,33.0,19.0,27.585,3,3,11506.0,3,2
E,E01014370,27.58,23.799999999999997,13.700000000000001,27.58,3,3,11507.0,3,2
E,E01019420,27.576,21.5,18.5,27.576,3,3,11508.0,3,2
W,W01000041,36.5,30.0,16.0,27.574930794333092,2,3,11509.0,3,2
E,E01025943,27.574,26.6,17.0,27.574,3,3,11510.0,3,2
E,E01032358,27.572,25.4,20.1,27.572,3,3,11511.0,3,2
E,E01031030,27.571,27.200000000000003,15.299999999999999,27.571,3,3,11512.0,3,2
E,E01029349,27.568,32.6,19.900000000000002,27.568,3,3,11513.0,3,2
E,E01020915,27.567,31.0,16.900000000000002,27.567,3,3,11514.0,3,2
E,E01000606,27.566,32.7,12.1,27.566,3,3,11516.0,3,2
E,E01023120,27.566,30.9,14.099999999999998,27.566,3,3,11516.0,3,2
E,E01002599,27.566,35.6,16.2,27.566,3,3,11516.0,3,2
E,E01002520,27.565,33.900000000000006,16.900000000000002,27.565,3,3,11518.5,3,2
E,E01002487,27.565,32.9,13.200000000000001,27.565,3,3,11518.5,3,2
S,S01008716,38.11217884521924,21.0,17.0,27.564268848367547,2,3,11520.0,3,2
W,W01001862,35.4,21.0,11.0,27.563333455197885,2,3,11521.0,3,2
E,E01035335,27.563,29.7,18.4,27.563,3,3,11522.0,3,2
E,E01009138,27.562,37.3,15.5,27.562,3,3,11523.5,3,2
E,E01034293,27.562,33.4,14.299999999999999,27.562,3,3,11523.5,3,2
S,S01010383,39.557531065174,23.0,19.0,27.561055776553903,2,3,11525.0,3,2
E,E01018077,27.56,24.2,17.0,27.56,3,3,11526.5,3,2
E,E01024996,27.56,19.8,17.5,27.56,3,3,11526.5,3,2
E,E01010144,27.558,29.7,17.4,27.558,3,3,11528.5,3,2
E,E01005604,27.558,27.0,19.5,27.558,3,3,11528.5,3,2
E,E01019159,27.557,23.200000000000003,16.400000000000002,27.557,3,3,11530.0,3,2
E,E01009777,27.551,29.4,20.9,27.551,3,3,11531.0,3,2
E,E01000632,27.55,28.7,7.3999999999999995,27.55,3,3,11532.0,3,2
W,W01001443,36.9,21.0,18.0,27.54685101684909,2,3,11533.0,3,2
E,E01022810,27.545,23.9,16.1,27.545,3,3,11534.0,3,2
E,E01019437,27.543,32.6,19.400000000000002,27.543,3,3,11536.5,3,2
E,E01024891,27.543,32.800000000000004,19.400000000000002,27.543,3,3,11536.5,3,2
E,E01020018,27.543,21.6,12.9,27.543,3,3,11536.5,3,2
E,E01003714,27.543,40.300000000000004,13.5,27.543,3,3,11536.5,3,2
