nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01031196,10.571,8.0,5.1,13.344889506856276,8,7,30581.0,8,4
E,E01029469,10.036,13.4,8.1,13.34232261286648,8,7,30582.0,8,4
E,E01004156,10.178,14.499999999999998,7.3,13.34219208995075,8,7,30583.0,8,4
S,S01010100,15.959700651468404,8.0,7.0,13.3407201338884,6,7,30584.0,8,4
E,E01008064,10.708,8.9,4.3,13.338646274092941,8,7,30585.0,8,4
S,S01013226,17.09997495582995,7.0,9.0,13.33756489219093,5,7,30586.0,8,4
E,E01014857,9.799,13.8,9.4,13.334893825295051,8,7,30587.0,8,4
S,S01007037,17.669174450740844,10.0,10.0,13.334654737068313,5,7,30588.0,8,4
S,S01011963,14.811491902016868,9.0,5.0,13.332599485805783,6,7,30589.0,8,4
E,E01016252,10.685,6.3,4.3999999999999995,13.332244244117428,8,7,30590.0,8,4
E,E01000183,10.223,12.7,7.000000000000001,13.332057172608804,8,7,30591.0,8,4
E,E01003655,10.311,13.100000000000001,6.5,13.331058689309332,8,7,30592.0,8,4
E,E01023012,10.683,6.3,4.3999999999999995,13.329799160178386,8,7,30593.0,8,4
S,S01007353,14.80862219639884,4.0,5.0,13.328521256782432,6,7,30594.0,8,4
E,E01016105,10.06,10.2,7.9,13.32823074948807,8,7,30595.0,8,4
E,E01033904,11.176,4.0,1.6,13.324452162095234,7,7,30596.0,8,4
E,E01033033,10.482,10.299999999999999,5.5,13.32294901286278,8,7,30597.0,8,4
E,E01011329,10.268,9.0,6.7,13.321922255266864,8,7,30598.0,8,4
E,E01031140,10.037,13.200000000000001,8.0,13.321828719512554,8,7,30599.0,8,4
E,E01016679,10.214,15.0,7.000000000000001,13.321054294883123,8,7,30600.0,8,4
E,E01008294,9.894,14.000000000000002,8.799999999999999,13.320736700458768,8,7,30601.0,8,4
E,E01011553,10.142,10.4,7.3999999999999995,13.31989701437147,8,7,30602.0,8,4
S,S01007478,17.087225496761313,10.0,9.0,13.319446234416734,5,7,30603.0,8,4
E,E01007711,10.106,14.000000000000002,7.6,13.319318374115644,8,7,30604.0,8,4
E,E01026550,10.088,11.5,7.7,13.31902905398773,8,7,30605.0,8,4
