nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_W_score,original_decile,W_expanded_decile,GB_IMD_W_rank,GB_IMD_W_pop_decile,GB_IMD_W_pop_quintile
E,E01030970,8.782,15.9,8.200000000000001,15.541059530939506,8,6,27374.0,7,4
E,E01017992,9.563,13.8,6.800000000000001,15.540190519440063,8,6,27375.0,7,4
E,E01007252,12.129,12.3,10.0,15.539642011074024,7,6,27376.0,7,4
E,E01011882,10.981,13.200000000000001,8.9,15.53948684799412,8,6,27377.0,7,4
E,E01003709,8.387,16.400000000000002,8.1,15.53927158243662,8,6,27378.0,7,4
E,E01002414,10.359,11.4,5.0,15.53818263971085,8,6,27379.0,7,4
E,E01032122,12.075,10.299999999999999,7.000000000000001,15.537793840861102,7,6,27380.0,7,4
E,E01009558,12.347,9.9,7.000000000000001,15.533073629555144,7,6,27381.0,7,4
E,E01009706,11.389,12.6,8.9,15.532406531035178,7,6,27382.0,7,4
E,E01001996,9.305,13.4,5.7,15.531111600091474,8,6,27383.0,7,4
E,E01030240,13.937,11.4,12.5,15.529788425661067,7,6,27384.0,7,4
S,S01010519,17.832861681733252,7.0,5.0,15.527544667828645,5,6,27385.0,7,4
E,E01021226,9.512,14.2,7.3,15.525599419641532,8,6,27386.0,7,4
E,E01029024,10.814,12.8,8.0,15.525464074076528,8,6,27387.0,7,4
E,E01022980,13.684,8.3,7.5,15.524827148780016,7,6,27388.0,7,4
E,E01004783,12.547,11.600000000000001,9.9,15.520484963415415,7,6,27389.0,7,4
E,E01033508,8.561,14.6,5.8999999999999995,15.52000809960068,8,6,27390.0,7,4
E,E01012501,12.232,11.5,9.1,15.518760049025246,7,6,27391.0,7,4
E,E01018165,9.556,14.399999999999999,7.7,15.515932839331281,8,6,27392.0,7,4
E,E01028947,8.429,16.1,7.8,15.515875251288978,8,6,27393.0,7,4
E,E01010933,11.985,10.4,7.000000000000001,15.515445148610075,7,6,27394.0,7,4
E,E01014998,10.351,13.8,8.5,15.513675337586482,8,6,27395.0,7,4
